GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe,pov_ci_low,pov_ci_high
48183,"Gregg County, Texas",66550,2015,19597,1862,121689,194,0.1610416718027102,0.01529914683787472,0.14574252496483547,0.17634081864058493
48195,"Hansford County, Texas",69441,9481,433,151,5048,11,0.08577654516640254,0.029912252783746117,0.05586429238265642,0.11568879795014866
48353,"Nolan County, Texas",50747,3546,3165,650,14061,74,0.22509067633880947,0.046211972474180456,0.178878703864629,0.27130264881298993
48031,"Blanco County, Texas",92425,6033,1038,361,12301,68,0.08438338346475896,0.029343500041086306,0.05503988342367265,0.11372688350584527
48297,"Live Oak County, Texas",57150,13763,1717,415,10063,52,0.1706250621087151,0.04123076062838068,0.1293943014803344,0.21185582273709577
48179,"Gray County, Texas",59614,5857,3036,533,19315,85,0.1571835361118302,0.027586462334140673,0.12959707377768953,0.18476999844597086
48123,"DeWitt County, Texas",63730,7622,3203,515,18199,75,0.1759986812462223,0.02828896146463629,0.14770971978158604,0.20428764271085859
48285,"Lavaca County, Texas",63240,5166,2304,386,20119,21,0.11451861424524082,0.019185471859768464,0.09533314238547236,0.13370408610500928
48247,"Jim Hogg County, Texas",42211,3821,1451,515,4617,58,0.31427333766515053,0.11147440363543333,0.20279893402971721,0.42574774130058385
48045,"Briscoe County, Texas",45417,13842,217,83,1292,136,0.16795665634674922,0.061760817494143014,0.10619583885260621,0.22971747384089225
48383,"Reagan County, Texas",57813,16497,380,219,3224,3,0.11786600496277916,0.06792795115993801,0.04993805380284115,0.18579395612271715
48283,"La Salle County, Texas",57716,17385,1222,572,5698,122,0.21446121446121447,0.10028102619347355,0.11418018826774091,0.31474224065468803
48205,"Hartley County, Texas",75841,15329,358,197,3817,56,0.09379093528949436,0.05159286635178383,0.04219806893771053,0.1453838016412782
48033,"Borden County, Texas",65625,21776,53,35,713,135,0.07433380084151472,0.04702741360352536,0.027306387237989366,0.12136121444504008
48321,"Matagorda County, Texas",58628,4363,7453,1275,35957,47,0.2072753566760297,0.03545798541706368,0.171817371258966,0.24273334209309338
48337,"Montague County, Texas",64545,5667,2947,506,20767,15,0.1419078345451919,0.024365364409643864,0.11754247013554804,0.16627319895483578
48077,"Clay County, Texas",80114,7097,870,225,10375,55,0.08385542168674699,0.02168219047424955,0.062173231212497446,0.10553761216099654
48295,"Lipscomb County, Texas",72560,7053,328,88,2861,16,0.11464522894092974,0.03075179310144096,0.08389343583948877,0.1453970220423707
48079,"Cochran County, Texas",45313,11121,678,167,2442,30,0.27764127764127766,0.06830145677972273,0.20933982086155495,0.3459427344210004
48487,"Wilbarger County, Texas",54102,9748,2121,595,12148,20,0.17459664142245637,0.04897841234716677,0.1256182290752896,0.22357505376962314
48117,"Deaf Smith County, Texas",60799,5480,3213,891,18187,71,0.17666465057458625,0.04898618278309373,0.1276784677914925,0.22565083335768
48489,"Willacy County, Texas",54180,8228,4393,917,18332,176,0.23963560986253546,0.04996888406113959,0.18966672580139587,0.28960449392367504
48479,"Webb County, Texas",63058,2420,56731,3605,266254,369,0.21307097733742966,0.013536482202729166,0.1995344951347005,0.22660745954015882
