GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe,pov_ci_low,pov_ci_high
48011,"Armstrong County, Texas",72750,13280,92,50,1771,126,0.05194805194805195,0.027989677486772075,0.023958374461279876,0.07993772943482402
48095,"Concho County, Texas",65795,12568,281,116,2466,95,0.11394971613949716,0.046834462995726134,0.06711525314377102,0.1607841791352233
48421,"Sherman County, Texas",61250,21618,234,137,2259,228,0.10358565737051793,0.059738346488384275,0.04384731088213366,0.16332400385890222
48365,"Panola County, Texas",64894,8447,2495,587,22290,29,0.11193360251233737,0.026334276564993105,0.08559932594734426,0.13826787907733049
48265,"Kerr County, Texas",69395,3840,5834,893,51367,98,0.11357486323904452,0.017383351824014612,0.0961915114150299,0.13095821506305913
48251,"Johnson County, Texas",84859,2719,19224,1892,192263,287,0.09998803721984989,0.009839554997573986,0.09014848222227591,0.10982759221742387
48035,"Bosque County, Texas",68914,4001,1700,317,18292,70,0.09293680297397769,0.01732633053813514,0.07561047243584254,0.11026313351211284
48081,"Coke County, Texas",43333,11825,735,151,3216,15,0.228544776119403,0.04694063429172314,0.18160414182767987,0.2754854104111261
48217,"Hill County, Texas",64591,2693,5363,734,36541,50,0.14676664568566816,0.020086021612943004,0.12668062407272515,0.16685266729861117
48363,"Palo Pinto County, Texas",67674,3848,4858,733,29008,18,0.16747104247104247,0.025268677655074033,0.14220236481596843,0.1927397201261165
48335,"Mitchell County, Texas",60550,10400,1052,380,7622,56,0.13802151666229337,0.04984536680711488,0.08817614985517849,0.18786688346940825
48189,"Hale County, Texas",51897,4443,6194,919,30162,57,0.2053577348982163,0.03046633017156256,0.17489140472665374,0.23582406506977885
48159,"Franklin County, Texas",72360,6650,1227,369,10518,22,0.11665715915573303,0.03508186678253907,0.08157529237319397,0.1517390259382721
48101,"Cottle County, Texas",59063,28606,233,99,1363,210,0.17094644167278064,0.06769040040610184,0.1032560412666788,0.23863684207888247
48171,"Gillespie County, Texas",76162,7606,2503,587,27121,65,0.09229010729692858,0.02164261444956607,0.0706474928473625,0.11393272174649464
48093,"Comanche County, Texas",59635,8590,2223,389,13754,49,0.16162570888468808,0.028276819352857977,0.1333488895318301,0.18990252823754605
48049,"Brown County, Texas",57470,4278,5600,822,36559,144,0.15317705626521513,0.02247610716861556,0.13070094909659957,0.1756531634338307
48267,"Kimble County, Texas",69455,13799,505,174,4323,46,0.11681702521397178,0.04023062802002834,0.07658639719394345,0.1570476532340001
48429,"Stephens County, Texas",58008,10198,1293,331,8828,51,0.14646579066606252,0.03748478742614527,0.10898100323991725,0.1839505780922078
48235,"Irion County, Texas",70357,19271,152,79,1409,148,0.1078779276082328,0.054911156516183876,0.05296677109204892,0.16278908412441667
48065,"Carson County, Texas",85231,6307,425,170,5711,56,0.0744177902293819,0.02975817060910505,0.04465961962027685,0.10417596083848696
48129,"Donley County, Texas",58750,10089,224,77,2848,30,0.07865168539325842,0.027023819890768498,0.05162786550248993,0.10567550528402692
48181,"Grayson County, Texas",72182,1791,15664,1732,140436,207,0.11153835198951836,0.01233192417086695,0.09920642781865141,0.12387027616038532
48493,"Wilson County, Texas",94565,5242,5904,1086,52217,112,0.11306662581151732,0.020796410468098,0.09227021534341931,0.13386303627961532
48253,"Jones County, Texas",59464,8588,2035,382,14483,199,0.14050956293585584,0.026304997218168206,0.11420456571768764,0.16681456015402404
48417,"Shackelford County, Texas",73047,13485,299,104,3139,12,0.0952532653711373,0.03312956940899231,0.062123695962144995,0.12838283478012963
48385,"Real County, Texas",39605,34535,484,251,2708,3,0.17872968980797638,0.09268811938431933,0.08604157042365705,0.2714178091922957
48255,"Karnes County, Texas",60214,9628,2223,621,11611,163,0.19145637757299114,0.05341618851810374,0.1380401890548874,0.24487256609109487
48505,"Zapata County, Texas",39239,4265,5190,818,13518,111,0.38393253439857966,0.06042973214500418,0.32350280225357547,0.44436226654358385
48357,"Ochiltree County, Texas",70183,9262,1151,396,9714,35,0.1184887790817377,0.040763669356438825,0.07772510972529888,0.15925244843817654
48097,"Cooke County, Texas",73932,4874,5737,879,42401,56,0.13530341265536192,0.02072987293964249,0.11457353971571943,0.1560332855950044
48115,"Dawson County, Texas",54360,12783,2014,580,10289,65,0.19574302653319078,0.05635731650478221,0.13938571002840858,0.252100343037973
48381,"Randall County, Texas",83864,2804,13930,1798,143256,197,0.09723851007985704,0.012550245383514558,0.08468826469634248,0.10978875546337159
48207,"Haskell County, Texas",60653,10160,865,188,5226,128,0.1655185610409491,0.03574481481681599,0.12977374622413312,0.2012633758577651
48281,"Lampasas County, Texas",81736,7326,2052,351,22500,23,0.0912,0.0155997214330456,0.07560027856695441,0.1067997214330456
48271,"Kinney County, Texas",70000,8852,236,179,2814,14,0.08386638237384506,0.06360915038279576,0.0202572319910493,0.14747553275664083
48359,"Oldham County, Texas",79900,7717,363,183,1755,228,0.20683760683760682,0.10075168356826415,0.10608592326934267,0.30758929040587096
48113,"Dallas County, Texas",76547,806,360341,11118,2588967,1405,0.13918331133614295,0.004293712549133515,0.13488959878700943,0.14347702388527647
48083,"Coleman County, Texas",49159,3270,1526,479,7769,38,0.1964216758913631,0.06164781083108446,0.13477386506027866,0.25806948672244756
48367,"Parker County, Texas",104443,3349,13026,1635,163184,218,0.07982400235317189,0.010018797142164875,0.06980520521100701,0.08984279949533676
48299,"Llano County, Texas",67530,7397,2662,444,22175,59,0.12004509582863584,0.020020000240024236,0.10002509558861161,0.14006509606866008
48047,"Brooks County, Texas",47764,16489,1278,421,6587,141,0.19401852132989222,0.06377869173289205,0.13023982959700017,0.25779721306278425
48397,"Rockwall County, Texas",127981,4257,4949,843,122551,217,0.04038318740769149,0.006878397168708603,0.03350479023898289,0.0472615845764001
48059,"Callahan County, Texas",72436,8036,1350,384,14048,74,0.09609908883826879,0.02733016419637464,0.06876892464189414,0.12342925303464343
48145,"Falls County, Texas",57247,3673,2250,456,15293,111,0.14712613614071798,0.0297984352453574,0.11732770089536058,0.17692457138607537
48231,"Hunt County, Texas",71938,2536,12424,1575,105429,198,0.1178423393942843,0.014937324257652618,0.10290501513663168,0.1327796636519369
